یہودیو,yahodiyo
مقابل,maqabil
ماپ,map
منظور,Manzoor
منزلوں,manzlon
منزلیں,manzilain
بہایا,manzil
مانو,manu
مانتی,manti
مانتے,mantay
منسوخ,mansookh
منصوبے,mansoobay
مانوس,manoos
منتیں,mannatain
من,mann
منکوحہ,mankoha
مانند,manind
سمجھائے,manhoos
مانگتے,mangte
مانگتا,mangta
مانگو,mango
مانگنے,mangnay
طاقتور,mangi
مانگیں,mangeen
مانگے,mangay
مانگا,manga
مانیں,manen
مندوں,mandoon
منڈاؤ,mandao
مند,mand
منائے,manaye
مانے,manay
مناتے,manate
منانا,manana
مانا,mana
منع,mana
منا,mana
امر,mamu
مملوک,mamlook
معلوم,maloom
مالوں,malon
مالکوں,malikon
مِلک,Malik
ملک,malik
مالداروں,maldaron
مالدار,maldaar
ملامت,malamat
مکروہ,makrooh
ڈھانپے,makri
مکر,makr
مخلوقات,makhloqaat
مخلوق,makhlooq
مکھی,makhi
مخبوط,makhboot
مکانوں,makanon
مکانات,makanaat
مکان,makaan
ماجوج,majooj
مجنون,Majnoon
مجلس,majlis
مجبوری,majboori
مجبور,majboor
میت,maiyat
معراج,mairaaj
مینڈک,maindak
معمار,maimaar
میخیں,maikhain
معنی,maienay
میدان,maidan
مشورہ,mahswara
محروم,mahroom
مہینوں,mahino
مہینے,mahinay
مہمان,maheman
مہینہ,maheena
محال,mahaal
ماہ,mah
مغرور,maghrour
مغرب,maghrib
مغلوب,maghloob
مگر,magar
معافی,maffi
مائل,mael
مدینہ,madinah
مادر,madar
مادہ,madah
مددگار,madadgaar
مدد,madad
مچھلیاں,machhliyan
مچھلی,machhli
مچے,mache
مچاتے,machate
مچھر,machar
مچا,macha
مچ,mach
معبود,mabood
معبودوں,mabodon
ماتھے,maathey
ماتھا,maatha
مارتے,maartay
مارتا,maarta
مارنے,maarny
مارنا,maarna
ماری,maari
معرفت,Maarfat
مارے,maaray
مار,maar
ماؤں,maaon
مانتا,maanta
ماننا,maanna
مانی,maani
مانگوں,maanguu
مانگتی,maangti
مانگ,maang
مناؤ,maanao
ماننے,maan-ne
مان,maan
معمور,maamoor
معاملوں,maamlon
معاملہ,maamla
مالک,maalik
مال,maal
معاف,maaf
مائیں,maaen
ماں,maa
ما,ma
لواور,lwavr
لطف,lutaf
باریکی,luqman
لبھاتی,lubhati
لبھانا,lubhana
لویہ,loyh
لویا,loya
لوٹ,lout
لوٹتے,lottay
لوتو,loto
لوٹو,loto
لوٹیں,loten
لوٹایا,lotaya
لوٹا,lota
لوط,Loot
لوح,looh
لُو,loo
لونڈی,londi
لوں,lon
لوہے,lohay
لوہا,loha
لوگوں,logon
لوگو,logo
لوگے,logay
لوگ,log
لُوکا,loca
لواپنے,lo apnay
لواللہ,lo Allah
لو,lo
لنگڑے,lngrhe
لئے,liye
لیے,liye
لیئے,liye
لیا,liya
لٹایا,litaya
لیںاور,linavr
لموں,limoon
لله,lillah
پھروگے,likhte
لکھنے,likhnay
لکھنا,likhna
لکھی,likhi
لکھائے,likhaye
لکھے,likhay
لکھاتا,likhata
لکھیں,likhain
لکھا,likha
لکھ,likh
لباس,libaas
لیاتھا,lia tha
لیاہے,lia hai
لی,li
لہ,lh
لگارتار,lgartar
لگادیتے,lgadite
لیٹے,letey
لیتے,letay
لینا,lena
لیں,len
لیکن,lekin
لیکر,leker
لہروں,lehron
پرندوں,lehrata
لحاظ,lehaaz
لے,le
لچھن,lchhn
لبھایا,lbhaya
یتی,laﺗﯽ
لذت,lazzat
لازم,lazim
لیتی,layte
لائینگے,layinge
لائی,layi
لائیں,layein
لایا,laya
لوٹے,lautay
لوٹتی,lautade
لاؤں,lau
لٹکا,latka
لاٹھیاں,lathyan
لاتی,latayen
لاتعلق,latalq
لاتا,lata
لاسکیں,laskin
لشکروں,lashkaron
لشکر,lashkar
لڑتے,lartay
لڑتا,larta
لڑے,larray
لڑو,laro
لڑنے,larnay
لڑنا,larna
لڑکوں,larkoon
لڑکیوں,larkiyon
لڑکیاں,larkiyan
لڑکی,larki
لڑکے,larke
لڑکا,larka
لڑیں,laren
لڑائی,larai
لقا,Laqa
لپیٹی,lapeti
لپٹ,lapat
لپکتے,lapaktay
لپیٹ,lapait
لاؤ,lao
لنگر,langar
لانا,lana
لمبی,lambi
لمبے,lambay
لمبا,lamba
للچانے,lalchanay
لالچ,lalach
لکڑیوں,lakrion
لکھتکر,lakhtkar
لکیر,lakeer
لیتا,laita
لائق,Laiq
لینے,lainay
لین,lain
لگو,lagu
لگتی,lagti
لگتے,lagtay
لگتا,lagta
لگوں,lagoon
لگی,lagi
لغزش,laghzish
لگے,lagey
لگیں,lagen
لگائیں,lagayen
لگائے,lagaye
لگایا,lagaya
لگاتے,lagatay
لگاتار,lagataar
لگاؤ,lagao
لگانا,lagana
دیمک,lagan
امداد,lagai
لگادی,lagadi
لگاتا,lagaata
لگا,laga
لگ,lag
لفظوں,lafzon
لفظ,lafz
لفت,laft
لٹکتی,ladkhadte
لادے,lade
لاچار,lachaar
لب,lab
لائے,laaye
لاتے,laatay
لات,laat
لاش,laash
لانے,laane
لعنت,laanat
لام,laam
لعل,Laal
لاکھ,laakh
لاگت,laagat
لا,laa
جنبش,la-haq
کیوں,kyun
کیاہو,kyaho
کیا,kya
کيا,kya
کتے,kuttay
کتا,kutta
لگن,kuti
کشادگی,kushadgi
کشادہ,kushadah
کرسی,kursi
کنوئیں,kunwein
کنویں,kunvey
کنڈے,kunday
کنبہ,kunba
قفل,kufl
کفر,kufar
کفار,kufar
شامل,kuchal
کچیل,kuchail
کچھ,kuch
کوا,kuaa
کرتوتوں,krtoton
کرسکو,krsko
کرئے,krea
کوزے,koze
کوتمہارے,kotmharay
کوتکوں,Kotkoon
کوشش,koshish
کوڑے,korray
کوری,kori
کوڑا,kora
کوتک,kootak
کود,kood
کونسی,konsi
کونسا,konsa
کونچیں,koncheen
کون,kon
کوئیبے,koiyebay
کوئی,koi
کوہ,koh
کودا,koda
کوچیں,kochin
کو,ko
کنجیاں,knjyan
کنبے,knbe
بندھاتے,kmzoron
کمائیوں,kmayyon
خدا,kkhuda
کیےٴ,kiye ?
کئے,kiye
کیے,kiye
جٕلاتا,kiyari
کِیا,kiya
کتنی,kitni
کتنے,kitney
کتنا,kitna
کتابوں,kitabon
کتابیوں,kitabiyon
کتابیو,kitabio
کتابی,kitabi
کتابیں,kitaaben
کتاب,kitaab
کسی,kisi
کسے,kisay
کسانوں,kisanon
کس,kis
کیونکر,kionkar
کینے,kinay
کناروں,kinaroon
کنارے,kinare
کنارہ,kinara
کن,kin
کیلوں,kilon
کلنی,kilne
کیجئے,kijiyej
کفایت,kifayat
کدھر,kidhar
کی,ki
خی,khy
خواہش,khwahish
خواه,khwah
خواہوں,khuwahon
خواہ,khuwa
خوشیاں,khusihyan
خوشنودی,khushnodi
خشکی,khushki
خوشخبری,khushkhabri
خشک,khushk
خوشی,khushi
چیرتی,Khushgawar
خوشبو,khushbu
خوشگواری,khush gawari
خوش,khush
خرما,Khurma
بٹانے,khurma
خمار,khumar
کھلتی,khulti
کھلم,khullam
کھلی,khuli
کھلے,khulay
خلاصی,khulasi
مہمانداری,khulasa
کھلا,khula
خفیہ,khufia
خداؤں,khudaon
خودمختار,khud mukhtar
خود,khud
خطبے,khtbe
خاتمہ,khtama
خریدلیے,khridlie
کھوئی,khoyi
کھوئے,khoye
کھوٹے,khote
خوری,khori
خوراک,khoraak
خور,Khor
خون,khoon
کھولا,khoola
خوبیوں,khoobiyon
خوبیاں,khoobiyan
خوبی,khoobi
خوب,khoob
خوں,khoo
خو,khoo
خونریزیاں,khonrezyan
چیونٹی,kholti
کھولتے,kholtey
کھولتا,kholta
کھولنے,kholnay
کھولنا,kholna
کھولی,kholi
جڑا,kholeen
کھولے,khole
کھول,khol
کھوہ,khoh
خوبصورت,khobsorat
کھو,kho
خُو,kho
کھیتیاں,khityan
کھسکا,khiska
کھینچیں,khinchin
کھلتا,khilta
کھلنے,khilnay
کھلنا,khilna
کھلاؤ,khilao
کھلانے,khilanay
ہوگا,khilain
خلافت,khilafat
خلاف,khilaaf
کھل,khil
خدمت,khidmat
کھچا,khicha
خفی,khfi
خیر,kher
کھینچتے,khenchte
کھینچنے,khenchnay
یسٰں,khenchna
کھینچی,khenchi
کھیلتا,kheltaa
کھلاتے,khelati
کھلاتا,khelata
کھیلیں,khelain
کھیتیوں,kheetion
کھینچ,khech
خزانوں,khazanon
خزانچی,khazanchi
خزانے,khazanay
خزانہ,khazana
کھائی,khayi
کھائیں,khayen
کھائے,khaye
خائب,khayb
خیانت,khayanat
خیالوں,khayalon
خیال,khayaal
کھایا,khaya
خواری,khawari
حِس,khawar
خاوند,khawand
خوان,khawan
خواہشوں,khawahishon
خواب,khawab
خوف,khauf
خطرے,khatray
خطرہ,khatrah
کھٹکا,khatka
کھاتی,khati
کھاتے,khatay
خطاوار,khatawar
خطاؤں,khataon
ختم,khatam
کھٹکتی,khatakti
خطاکار,khatakaar
خطائیں,khataien
خطا,khata
کھاتا,khata
مطیع,khat
کنیز,khasusiyat
خاصوں,khason
خاسر,Khasir
خسارے,khasaray
خسارہ,khasara
کھڑے,kharray
خُرجی,kharji
خرجی,kharji
خریدی,kharidi
خریداری,kharidari
کھڑی,khari
کھری,khari
خریدیں,khareedain
خریدا,khareeda
خرید,khareed
اگایا,kharedtay
خرچ,kharch
خرچنے,kharachnay
خرابی,kharabi
خراب,kharab
کھڑا,khara
کھاؤ,khao
خانگی,khangi
کھانے,khanay
خانہ,khanah
خانے,khanaay
کھانا,khana
خاموش,khamosh
خلق,Khalq
خُلق,khalq
خالص,khalis
خلف,Khalf
کھالیں,khalen
کھجوروں,khajoron
کھجوریں,khajooren
کھجور,khajoor
استادی,khaiton
کھیتی,khaiti
کھیت,khait
خیرات,khairaat
خیرخواہ,khair khwah
خیموں,khaimon
کھیلتے,khailtay
کھیلے,khailay
کھیل,khail
خادم,khadim
خچر,khachar
خبروں,khabron
خبریں,khabrain
جائزہ,khaberi
پل,khabees
خبردار,khabardaar
خبر,khabar
خاص,khaas
کھاری,khaari
راستے,khaanoon
کھانوں,khaano
خام,khaam
کھالوں,khaalon
خوشگوار,khaaliq
خالی,khaali
کھال,khaal
خاک,khaak
کھا,kha
کرے,kere
کرّے,kere
کیلے,kelay
کہتی,kehti
کہتے,kehte
کہتا,kehta
کہنے,kehnay
کہنا,kehna
کہہ,keh
کینہ,keena
کیچڑ,keechar
کیں,kee
کیلئے,ke liye
کے,ke
کہ,ke
کبیرہ,kbirh
کئی,kayi
کاوش,kawish
کوے,kaway
کاوشیں,kavshin
کاٹو,katu
کترائے,katray
کترا,katra
کاٹے,katay
کٹے,katay
کٹ,kat
کستا,kasta
کثرت,kasrat
قسمیں,kasmain
چھلکے,kashtiyon
کشتیاں,kashtiyan
کشتی,kashti
کشائش,kashaish
کاش,kash
قرض,karzzzz
کڑوی,karvi
کروٹیں,karvatein
کروٹ,karvat
کرتوت,kartoot
کرتیں,kartin
کرتی,karti
کرتے,karte
کُرتے,karte
کرتا,karta
کُرتا,Karta
کارساز,karsaaz
کروں,karoon
کاروں,karon
کروگے,karogay
اتارنا,karobari
کرو,karo
کرنی,karni
کرنے,karne
کرنیوالوں,karnay walon
کرنا,karna
کرکے,karkay
کرجائیں,karjayen
کرجائے,karjaye
کرّی,kari
کڑی,kari
کریں,karen
کریگا,karega
کریم,kareem
کریدی,kareedi
کریدتا,karedta
کاربند,karband
کراؤ,karao
کرانا,karana
کرم,karam
کرائی,karai
کرادی,karade
کرا,kara
کرّا,Kara
لگائی,kar saken
کرسکے,kar sakay
کررہے,kar rahay
کر,kar
کپڑوں,kapron
کپڑے,kapray
کانٹے,kantay
کنکر,kanker
کنجوس,kanjoos
کنگن,kangon
تکو,kaneez
کمزوری,kamzoree
کمزور,kamzor
کامیوں,kamyoon
کامیابی,kamyabi
کامیاب,kamyaab
کاموں,kamon
کمینوں,kaminiye
سنگسار,kaminey
کمی,kami
کمائے,kamaye
کمایا,kamaya
کماتے,kamate
کمر,kamar
کماؤں,kamaon
کماؤ,kamao
کمانے,kamanay
کمانا,kamaana
کمال,kamaal
کمائیں,kamaain
کمائی,kamaai
کم,kam
کلمے,kalme
کلمہ,kalma
کلائیاں,kalayan
کالے,kalay
کلام,kalaam
کالا,kala
کل,kal
ککڑی,kakri
کجی,kajji
میانہ,kaj
کیسی,kaisi
کیسے,kaisay
کیسا,kaisa
کہوں,kahoon
کاہو,kahoo
کہو,kaho
کہلانا,kahlana
کہیں,kahin
کاہلی,kahili
کہی,kahi
کہے,kahe
کہاوت,kahawat
کہانیاں,kahaniyan
کہاں,kahan
کہا,kaha
کاغذ,kaghaz
کافرو,kafroo
کافور,kafoor
کافروں,kafiroon
کافر,kafir
کفارہ,kaffara
کڑیاں,kadiyaa
کدو,kaddu
کدے,kadde
کڑک,kadak
کبھی,kabhi
کب,kab
کاٹوں,kaaton
کاٹنی,kaatni
کاٹی,kaati
کاٹتے,kaatetay
کاٹیں,kaatein
کاٹا,kaata
کاٹ,kaat
کانٹوں,kaanton
کانپتی,kaanpti
کانپے,kaanpay
کانوں,kaanon
کان,kaan
کامل,kaamil
جانتی,kaami
کام,kaam
کاہے,kaahe
کافی,kaafi
کعبہ,kaaba
کا,ka
کہاوتیں,k_havtin
جوئے,juye
جھٹلاتے,jutlatay
بچھاؤ,jutlana
اژدہا,jutata
جرأت,jurrat
جرم,jurm
جڑے,jurey
جڑاؤ,jurao
کیابے,jura
آفرینش,junoon
جنوں,junoo
سوجھتانہیں,junoo
جنگل,jungle
جنگی,jungi
جنگ,jung
شئے,junbish
جمعہ,jummay
جھکائے,jukaye
جفت,juft
جدا,judda
جدائی,judai
جُدا,juda
جوا,juaa
جتا,jta
جوئیں,joyen
جوش,josh
جورو,joru
جوڑوں,joron
جوڑو,joro
جوڑنے,jornay
جوڑتے,jorhte
جوڑے,jore
جوڑا,jora
جوڑ,jor
ٹوٹ,jooti
جوتے,jootay
جوگی,jogi
جودی,Jodi
جوبن,joban
جو,jo
جیوں,jiyun
جیئں,jiyen
جیئے,jiye
جئے,jiye
جتنی,jitni
جتنے,jitne
جتنا,jitna
جَست,jist
جسم,jism
جسے,jisay
جس,jis
جنس,jins
جنکی,jinki
جنکے,jinke
جنہوں,jinhon
جنھوں,jinhon
مکڑی,jinhen
جنہیں,jinhein
جنے,jinay
جنا,jina
جنکو,jin ko
جن,jin
جَن,jin
جم,jim
جِلا,jilla
جیے,jie
جدھر,jidhar
جبریل,Jibreel
جھٹلاتا,jhutlata
جالے,jhutlao
جھٹلانے,jhutlanay
جھٹلائیں,jhutlain
جھٹلا,jhutla
جھوٹے,jhutay
جھرمٹ,jhurmat
جھکتی,jhukti
جھکو,jhuko
جھکنا,jhukna
جھکیں,jhuken
جھکے,jhuke
جھکایا,jhukaya
جھکتے,jhukatey
جھکا,jhuka
جھک,jhuk
جھٹلائی,jhtlayi
جھپٹتے,jhptte
جھوٹوں,jhotoon
جھوٹی,jhooti
جھوٹا,jhoota
جھوٹ,jhoot
جھڑکی,jhirki
جھڑک,jhirak
جھڑکنا,jhidakna
جھگڑتا,jhgerta
جھیلیں,jhelen
جھونکا,jhaunka
جھٹلایا,jhatlaya
جھاڑو,jharoo
جھڑ,jhar
جھپٹ,jhapat
جانچنے,jhanchne
جھلک,jhalak
جھانکا,jhakka
جھگڑنے,jhagrnay
جھگڑے,jhagray
جھگڑالو,jhagralu
جھگڑیں,jhagrain
جھگڑا,jhagra
جھگڑتے,jhagarte
جھگڑ,jhagar
جھاڑی,jhaari
جھانک,jhaank
جھاگ,jhaag
جھاڑ,jhaad
جیساہو,jesa ho
جہاد,jehaad
جیتی,jeeti
جیتے,jeetay
جیت,jeet
جینے,jeeney
جینا,jeena
جی,jee
جِی,jee
جبھی,jbhi
جزیہ,jaziya
جزا,jaza
جایئے,jayye
جائیو,jayoo
جائیں,jayen
جاےٴ,jaye ?
جائے,jaye
جاے,jaye
جوانی,jawani
جوان,jawan
جواب,jawab
جاتی,jati
جتھا,jatha
جاتیں,jatein
جاتے,jatay
جتاتے,jatate
جتایا,jataayaa
جاتا,jata
جاسوس,jasoos
جڑ,jarr
جڑوں,jaroon
جاری,jari
جاڑے,jaray
جاؤں,jaoon
جاؤ,jao
جانوروں,janwaron
جانور,janwar
مقدار,janti
جانتے,jantay
جانو,jano
جنتیں,jannaten
جنت,jannat
جاننا,janna
جانب,janib
جانی,jani
جانے,jane
جاندار,jandaar
ھتے,jancha
جانشینی,janasheeni
جانشین,janasheen
جانا,jana
جننے,jan'nay
جاننے,jan-nay
جمتا,jamta
جمنے,jamnay
جمنا,jamna
جمایا,jamaya
جمے,jamay
جماعتیں,jamaten
جماؤ,jamao
جمانے,jamanay
جماعتوں,jamaaton
جماعت,jamaat
جمع,jama
جما,jama
جلوے,jalwey
مڑ,jalva
جالوت,Jalut
جلتی,jalti
جلتے,jaltay
جلتا,jalta
جلیں,jalein
جلدی,jaldi
جلد,jald
جِلائیں,JALAYEN
جلائیں,jalayen
جِلایا,JALAYA
جلے,jalay
فرعونیوں,jalatay
جِلاتا,jalataa
جلاتا,jalataa
جلن,jalan
جِلائے,Jalaaye
جلائے,jalaaye
جلا,jala
جل,jal
جکڑے,jakray
سبا,jaiza
جائیے,jaiye
جیسی,jaisi
جیسے,jaisay
جیسا,jaisa
جیل,jail
جاہلیت,jahliat
جاہلوں,jahilon
جہنمی,jahanumi
جہنم,jahannum
جہان,Jahan
جہاں,jahan
جہالت,jahalat
جہاز,jahaaz
جاہ,Jah
جگمگاتا,jagmagata
جگمگانے,jagmagane
جگمگا,jagmaga
جگہوں,jaghon
جگایا,jagaya
جگہ,jagah
سایوں,jaga
جادوگر,jadugar
جادو,jadu
جانچے,jacchay
جبکہ,jabkay
جبر,jabar
جب,jab
جاوے,jaave
جانوں,jaanun
جانتا,jaanta
جانیں,jaanen
جانچ,jaanch
جان,jaan
جاموں,jaamon
جام,jaam
بندو,jaaley
جاہل,jaahil
جاگتا,jaagta
جعل,ja-al
جا,ja
عزت,izzat
عذر,izr
اطلاع,ittila
اتراتے,itratay
اِتراتے,itratay
اتراتا,itrata
آوازوں,itrata
اترانے,itranay
عجب,itranay
اترا,Itra
قوتیں,itra
اتنی,itni
اتنے,itnay
اتنا,itna
اطمینان,itminan
اتباع,itebaa
اطاعت,itaat
استوا,istewa
اسرائیل,Israel
اسماعیل,ismael
اسلامی,islami
اسلام,islam
اصلاح,islaah
اسی,isi
اشتباہ,ishtibaah
اشارے,isharay
اشارہ,ishara
اسحاق,Ishaq
اس,is
ارتکاب,irtikaab
ارشاد,irshad
ارادہ,iradah
ارادوں,iraadon
اقرار,iqraar
انتظار,intzaar
انتقال,intqaal
انتظام,intizam
انتخاب,intikhab
انتہاء,inteha
وفا,intahaa
کرسکیں,Insha
انصافوں,insafon
انصافی,insafi
انسانیت,insaaniyat
انسان,insaan
انصاف,insaaf
انکار,inkaar
القا,inka
انجیر,injeer
انجیل,injeel
انجام,injaam
انہیں,inhen
انہيں,inhen
انعام,inaam
عناد,inaad
امتیاز,imtiaz
امتحان,imthehaan
عمران,Imran
تغافل,imdaad
عمارت,imarat
امامت,imamat
امام,imam
ایمان,imaan
ايمان,imaan
الزام,ilzaam
الیاس,Ilyas
التفات,iltifaat
علموں,ilmoon
علم,ilm
الہام,ilham
علاقہ,ilaqa
الا,ila
اکرام,Ikram
اختیار,ikhtiyar
اختلاف,ikhtilaaf
اکٹھی,ikathi
اکٹھے,ikathay
وضع,ijlaas
اجازت,ijazat
احاطہ,ihata
افتراء,iftira
افتاد,iftaad
اِدھر,idher
ادھر,idhar
عدت,iddat
ف۱۲۰,ibtida
خوابگاہوں,ibtida
عبرتکر,Ibratkar
عبرت,Ibrat
ابراہیم,ibrahim
ابن,Ibn
ابلیس,iblees
عبادت,ibadat
حضور,huzoor
حسن,husn
ہشت,husht
حوروں,hurron
حرمت,hurmat
ہوؤں,huoon
ہونگے,hunge
ہنر,hunar
حنین,Hunain
ہمسر,humsar
ہم,hum
حکم,hukum
حکومت,hukoomat
حکموں,hukmon
حکمی,hukmi
حجروں,hujron
حجت,Hujjat
ہوئیں,huien
ہوئی,hui
ہوئے,hue
یقینی,hudhud
ہٹیں,htin
چکیہیں,hte
امانتدار,hِs
حقداروں,hqdaron
ہوتم,hotum
ہوتی,hoti
ہوتیں,hoten
ہوتے,hotay
ہوتا,hota
ہوشیاری,hoshyari
ہوش,hosh
ہوشیار,hooshiyar
حوریں,hooren
ہُوں,hoon
ہود,Hood
ہونٹ,hont
ہونی,honi
ہونے,honay
ہونہار,honahaar
ہونا,hona
ہوں,hon
ہولیے,holye
ہولیں,holin
ہوکر,hokar
ہوہی,hohi
سلامہو,hoga
ہو,ho
ہنسیں,hnsin
حمایتیوں,hmaytyon
ہلادینے,hladine
حیائی,hiyai
حصوں,hisson
کاروباری,hissay
حصہ,hissa
حصّہ,hissa
حساب,hisaab
حرص,hiras
ہپ,hip
ہمت,himmat
حمایتی,himayati
حمایت,himayat
ہلنا,hilna
ہلا,hila
ہِلا,hila
ہل,hil
حکمت,hikmat
ہجرت,hijrat
حجر,hijr
حفاظت,hifazat
ہی,hi
حیران,heran
حما,hema
ہلیں,helain
حیلہ,heela
ہزاروں,hazaron
ہزار,hazaar
حیائییا,hayaya
حیا,haya
ہوس,hawas
حواریوں,hawarion
حواری,hawari
ہواؤں,hawaon
حوالے,hawalay
حوالہ,hawala
ہوائیں,hawae
حوادث,hawadis
حواس,hawaas
ہولے,haulay
ہٹے,hattay
ہٹ,hatt
ہٹنے,hatnay
ہتھیاروں,hathyaaron
ہتھیار,hathyaar
ہاتھوں,hathon
ہاتھی,hathi
ہتھیلیاں,hatheliyan
ہٹایا,hataya
ہٹاتے,hatatay
ہٹاؤ,hatao
ہٹانا,hatana
ہٹا,hata
پہننے,hasratoon
حسرت,hasrat
حشر,hashar
حسب,hasb
حسرتیں,hasaratein
حسد,hasad
ہریالی,haryali
ہاروت,harwat
ہارون,Haroon
حرکت,harkat
حرج,harj
ہری,hari
ہرگز,hargiz
ہرے,harey
حریص,harees
ہارے,hare
پہاڑو,haranay
حرامکر,haramkar
حرم,haram
حرام,haraam
ہر,har
حقیر,haqeer
حقیقتاً,haqeeqatan
حقیقت,haqeeqat
حق,haq
ہنستے,hanstay
ہنسنے,hansnay
ہنسی,hansi
ہنسے,hanse
ہنسایا,hansaya
ہنسا,hansa
ہنس,hans
ہانکو,hanko
ہانکنے,hanknay
ہانکنا,hankna
ہانکے,hankay
ہموار,hamwar
ہمسائے,hamsaye
ہمراہ,hamrah
ہمنشین,hamnashiin
حملہ,hamla
ہمیشگی,hameshgi
ہمیشہ,hamesha
ہمیں,hamein
حمد,hamd
ہماری,hamari
ہمارے,hamaray
ہمارا,hamara
دیکھتی,Haman
حمل,hamal
ہمہ,hama
حلقہ,halqa
حلم,halm
ہلکی,halki
ہلکے,halkay
ہلکا,halka
حالتیں,halatain
ہلالے,halalay
حلال,halal
ہلاکت,halakat
حلف,halaf
حالانکہ,halaank
ہلاک,halaak
حاکمِ,hakmِ
حاکموں,hakimon
حکیم,hakeem
حج,hajj
حاجیوں,hajion
حیض,haiz
ہیر,hair
ہیں,hain
ہيں,hain
ہیبت,Haibat
ہے,hai
ہفتے,haftay
ہفتہ,hafta
حدوں,hado
ہڈیوں,hadion
حدیں,hade
ہڈیاں,haddiyan
ہڈی,haddi
ہدایت,hadaayat
حد,had
حبر,habr
حاضری,haazri
حاضر,haazir
ہاتھ,haath
حاصل,haasil
ہار,haar
ہاں,haan
حامی,haami
حالت,haalat
حال,haal
حاکم,haakim
حاجت,haajat
حائل,haail
ہائے,haae
حادثہ,haadsa
ہادی,haadi
ه,h
گذرتے,gzrte
گواہیوں,gwahyon
گزری,guzri
گزریں,guzren
گزرے,guzray
گزرا,guzra
گزرتی,guzarti
گزرتے,guzarte
گزرنے,guzarnay
گزاری,guzari
گزارے,guzaray
گزر,guzar
گزار,guzaar
غصہ,gussa
گِرو,guru
گرو,guru
گڑ,gur
گِڑ,gur
گنجائش,gunjaish
گونگے,gungay
گنہگار,gunehgaar
گنہگاروں,gunahgaaron
گنہگاری,gunahgaari
سرگرداں,gunahgaar
گناہ,gunah
گناہوں,gunaaho
گن,gun
گمراہوں,gumrahon
گمراہکر,gumrahko
گمراہی,gumraahi
گمراہ,gumraah
گمانوں,gumano
گمان,gumaan
گم,gum
روگ,gulon
گل,Gul
گفتگو,guftagu
گچھے,guchay
غبار,gubhar
گرز,grz
گرہستی,grhsti
گرہوں,grhon
گویائی,goyai
گویا,goya
گوشت,gosht
گونگا,goonga
گوئی,goi
گوبر,gobar
گور,goar
گود,goad
گنجلک,gnjlk
گروی,girwi
گرتے,girtay
گرتا,girta
گروہ,giroh
گرنا,girna
گرجا,girja
گرفت,girift
گری,giri
گرفتار,girftar
گریں,gireen
گرد,gird
گرائی,girayi
گرایا,giraya
گرے,giray
گراتے,giratay
گراؤ,girao
گراں,giran
گرہ,girah
گرا,gira
گر,gir
گنتی,ginti
جنی,ginne
گننے,ginnay
گنا,gina
گنُا,gina
گلے,gilaay
گیلی,giili
گی,gi
گھٹنوں,ghutnon
گٹھلی,ghuthli
گھٹن,ghutan
غرور,ghuroor
گھماتے,ghumate
غلاموں,ghulamoo
غلامی,ghulami
غلام,ghulam
گلاب,ghulaab
غل,ghul
گھسیٹے,ghsite
گھسے,ghse
گِھر,gِhr
غوطہ,ghouta
گھوڑوں,ghoron
گھوڑے,ghoray
گھونٹنے,ghoontnay
گھونٹ,ghoont
خواہشہو,ghoom
بیاہ,ghonsa
گھیرلیا,ghirlya
گھن,ghinn
غلاف,ghilaaf
غور,ghhor
غیروں,gheiron
گیہوں,gheehon
غیبت,gheebat
غازیوں,ghazyon
گھٹتے,ghatte
گٹھا,ghatta
گھٹ,ghatt
گھٹاؤ,ghaton
گھاٹے,ghatay
گھٹانے,ghatanay
گھٹیں,ghatain
گھٹا,ghata
گھاٹا,ghata
گھسیٹتے,ghasetetay
غرضی,gharzi
پہنچاتے,gharz
گھروں,gharon
گھڑیاں,ghariyaan
گھڑیوں,gharion
گھڑی,ghari
گھڑت,gharat
گرانی,gharani
اگاتے,gharane
گڑانا,gharana
گھر,ghar
گھِر,ghar
گھنے,ghany
غنی,ghanni
غنیٰ,ghanni
گھنی,ghani
غنیمت,ghanemat
گھنا,ghana
غمگین,ghamgeen
گھمنڈ,ghamand
غم,gham
غلہ,ghalla
غالب,ghalib
غلبے,ghalbay
غلبہ,ghalba
غلط,ghalat
غیظ,ghaiz
بالاخانوں,ghairnay
گھیرے,ghairay
گھیرا,ghaira
گھیر,ghair
غیر,ghair
غیب,ghaib
غفلت,ghaflat
غافلوں,ghafilon
گائیں,ghaein
ہامان,ghabraye
گھبرانے,ghabranay
گھبراہٹ,ghabrahat
گھبرا,ghabra
گھاٹی,ghaati
گھاٹ,ghaat
گھاس,ghaas
غار,ghaar
غافل,ghaafil
گاکہ,gha kay
غا,gha
غی,gh‬
گہرے,gehray
گہرا,gehra
گہنا,gehna
گہرائی,geherai
ناصحوں,geeron
گیر,geer
گنو,geeno
گے,ge
گچھوں,gchhon
گچ,gch
غضب,gazabb
گائیوں,gayyon
گایوں,gayon
گئی,gayi
گئیں,gayeen
گئے,gaye
گیارہ,gayarah
گیوں,gayaoun
غائب,gayab
گیا,gaya
گوارا,gawara
گواہوں,gawahoon
گواہکر,gawahkar
گواہی,gawahi
گواہ,gawah
گاوہ,gavh
گاتو,gato
گاروں,garon
گروہوں,garohoon
گرمی,garmi
گرجتی,garjte
گریبانوں,garibanoo
گریبان,garibaan
گڑھے,garhay
گڑھ,garh
گردنوں,gardnon
گردشیں,gardishen
گردش,gardish
گردنیں,gardanein
